Word   ,Date       ,Contest number ,Number of  reported results ,Number in hard mode ,1 try ,2 tries ,3 tries ,4 tries ,5 tries ,6 tries ,7 or more tries (X)
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
       ,           ,               ,                            ,                    ,      ,        ,        ,        ,        ,        ,
